EC	0_1	24_2	144_1	144_2	144_4	240_1	240_5	0_3	24_5	36_1	36_5	144_5	24_1	36_3	36_4	240_3	240_4
EC:2.7.1.30	659.06415	4646.7993	1106.881	1841.1989	1125.8291	339.84872	451.03223	261.23578	2265.4568	294.18597	155.51808	1259.6293	2901.254	336.8475	240.40443	0	335.85672	
EC:3.3.2.1	0	0	0	2.10469	0	0	0	0	0	0	0	0	0	0	0	0	0	
EC:2.7.1.32	0	0	0	4.378254	0	0.500488	0	0	0	0	0	0	0	0	0	0	0	
EC:2.7.1.31	21.556606	38.526802	20.804708	44.22694	29.39169	23.898125	15.98658	29.45005	41.90695	60.19807	40.17504	25.966991	69.39026	33.35617	19.69243	0	20.44371	
EC:2.-	337.28223	145.93964	231.36317	173.246	239.19225	128.0103	355.62048	259.07883	328.43845	363.92123	312.88953	236.50162	176.15428	71.7674	292.69565	0	116.15827	
EC:2.7.1.33	76.81626	146.76974	53.226006	116.05184	46.82264	115.15279	53.035686	58.29732	150.31763	88.70256	87.99478	64.936806	79.17529	60.85473	46.972336	0	62.94477	
EC:2.7.1.36	0	0	2.08902	1.65473	0	0	0	0	4.02044	0	0	0	0	0	1.21469	0	0.794576	
EC:2.7.1.35	74.076096	94.765175	52.297638	33.176186	46.17027	67.450584	63.891422	66.57559	69.51503	60.91652	46.17117	49.8886	86.70334	53.8647	61.301544	0	61.800896	
EC:2.7.1.26	287.7219	411.3513	479.24365	356.11224	493.7798	317.9754	341.61963	531.205	491.0643	344.12506	242.25461	258.2076	313.8161	297.1084	588.73206	0	741.7362	
EC:2.7.1.29	0.490372	1.11604	10.0640335	7.1365237	2.952614	3.61607	8.889997	0	4.3652	0	3.04769	4.3864403	7.223718	0.734289	7.3263	0	0.680586	
EC:1.14.14.1	1.64086	7.20251	5.5202203	46.135494	7.1655617	24.299538	10.049397	9.473151	30.860958	0	5.91861	5.0405397	3.0501041	1.34912	44.45836	0	1.786353	
EC:1.14.14.8	0	0	0	0	0	0	0	0.657036	0	0	0	0	0	0	0	0	0	
EC:1.14.14.7	0	0	0	0	2.213798	0	0	0	0.490389	0.511658	1.62454	2.2362	0	0	0	0	0	
EC:1.14.14.5	40.803715	78.41148	238.96356	228.53893	130.74501	68.92883	231.67241	49.681904	58.384857	40.329327	29.65456	185.59267	133.92673	75.13933	30.98459	0	235.60165	
EC:5.1.3.25	4.63197	12.4655905	3.17794	11.704697	3.677592	16.80672	3.915502	13.009359	9.153495	5.23843	5.11772	7.305482	29.400421	2.88793	5.55715	0	7.5299897	
EC:5.1.3.29	0	9.40738	0	74.71954	0	47.652073	0	0	0	0	0	0	5.08982	0	0	0	8.73069	
EC:2.1.1.148	0	3.3662	0	2.230801	0	3.478446	1.7495	1.14773	2.5260758	0	0	1.67558	0	0	0	0	3.67478	
EC:2.1.1.152	17.719551	25.36306	16.768139	13.382991	17.14561	16.81477	17.35618	25.186401	23.564959	39.11501	23.274979	17.4672	32.43754	45.970978	13.82323	0	20.699663	
EC:2.3.1.207	174.00383	176.83655	232.44144	83.40528	137.6492	109.913155	170.1393	167.96587	146.23494	158.71526	123.76731	129.4632	161.6307	153.6742	140.4484	0	213.10281	
EC:3.1.6.8	0	0	0	0	0	6.966139	3.343	0	0	0	0	0	0	0	0	0	0	
EC:1.14.13.70	0	0	5.83191	5.371643	3.741131	2.918777	6.74222	1.70678	6.9309278	0	0	2.8207302	0	0	7.16743	0	4.5261517	
EC:5.1.3.20	9.033756	12.821693	9.55136	18.612238	6.1746387	13.618549	8.957349	9.71072	8.062195	2.49302	1.60684	3.04772	13.092089	3.66997	4.8417997	0	5.5412817	
EC:1.14.13.72	1.16088	5.529719	1.86019	12.817989	2.52356	16.66089	0	1.22371	6.7443295	0	0	0	0	0	14.6952	0	15.799651	
EC:5.1.3.23	1.698	3.95468	1.26395	6.8342	0	4.3199	0.785118	0.85004	2.513538	0	0	0	0	0	4.54509	0	0.916471	
EC:3.1.6.6	21.768768	15.2418165	14.20387	13.6970215	12.202734	11.936285	12.037293	18.130041	14.409682	27.93055	51.71293	19.431482	26.27589	35.45544	28.417068	0	10.32739	
EC:3.1.6.1	321.83035	224.62326	114.252594	123.29545	128.78459	170.57657	91.82366	336.90585	153.31146	139.5337	144.93341	123.92207	160.82063	234.36108	141.03027	0	183.44635	
EC:2.7.1.21	1.9890549	4.31536	4.68906	16.265907	8.691422	10.07825	8.875156	1.17925	5.1713166	2.05589	0	6.74088	7.102084	2.50637	9.69452	0	4.670746	
EC:2.7.1.20	22.266598	28.168028	18.05471	50.660206	21.399488	68.12542	19.186972	28.037987	18.352962	8.14065	12.41909	23.321035	38.794632	9.27294	10.24069	0	42.996002	
EC:2.3.1.201	1.94472	7.948122	1.33342	11.4016075	0	6.1401796	2.931017	0	3.363666	0	5.65757	0	10.94661	0	346.493	0	2.940876	
EC:2.7.1.23	166.3002	147.57983	132.16426	148.02907	121.26149	113.59718	154.49315	160.50746	135.03065	142.46233	89.94218	124.321175	169.47733	148.31679	132.44826	0	144.91208	
EC:3.1.6.-	7.45376	4.738014	7.188202	227.97916	4.681293	14.418642	12.428118	6.248991	9.437503	19.6268	16.3898	11.027337	0	8.41457	6.98064	0	6.773882	
EC:2.7.1.22	0	0	0	1.01381	0	0	0	0	0	0	0	0	0	0	0	0	0	
EC:2.3.1.203	0	0	0	0	0	6.9134903	0	0	0	0	0	0	0	0	0	0	0	
